SOC,Occupation,Mean,Entry Level,Experienced,10%,25%,50% (Median),75%,90%
53-7063,Machine Feeders and Offbearers,40600,31300,45200,30600,33600,39500,47400,50500
53-7064,"Packers and Packagers, Hand",30100,23700,33300,21900,26600,28000,33000,40600
53-7065,Stockers and Order Fillers,36600,31100,39400,30900,32000,35100,40300,48000
53-7071,Gas Compressor and Gas Pumping Station Operators,67700,47200,78000,43200,55400,67500,82700,92000
53-7072,"Pump Operators, Except Wellhead Pumpers",45200,33800,50900,32500,36000,37900,56700,73200
53-7073,Wellhead Pumpers,67300,44200,78900,39500,53500,67300,77100,92500
53-7081,Refuse and Recyclable Material Collectors,46400,32900,53200,31200,36600,43600,51800,60600
53-7121,"Tank Car, Truck, and Ship Loaders",43200,30600,49500,31200,31300,39500,50300,59000
53-7199,"Material Moving Workers, All Other",44400,33800,49800,32500,36400,39600,52700,59500
00-0000,Total - All Occupations,59600,28000,75300,25400,33200,45700,68900,102900
